City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Busselton,-33.65,115.3333,61.16,87,12,10.09,AU,2022-06-11 18:19:52
1,Mataura,-46.1927,168.8643,37.47,89,77,6.13,NZ,2022-06-11 18:19:53
2,Vaini,-21.2,-175.2,73.56,100,40,4.61,TO,2022-06-11 18:19:53
3,Kaitangata,-46.2817,169.8464,36.39,78,71,8.77,NZ,2022-06-11 18:19:54
4,Kavaratti,10.5669,72.642,83.41,78,65,16.58,IN,2022-06-11 18:19:54
5,Kijang,35.2442,129.2139,65.93,88,1,9.4,KR,2022-06-11 18:19:54
6,Khartoum,15.5518,32.5324,95.02,33,46,6.04,SD,2022-06-11 18:16:17
7,Mugur-Aksy,50.35,90.5,58.82,43,65,4.14,RU,2022-06-11 18:19:55
8,Lorengau,-2.0226,147.2712,80.56,76,43,5.44,PG,2022-06-11 18:19:55
9,Thompson,55.7435,-97.8558,66.36,42,40,6.91,CA,2022-06-11 18:19:56
10,Atuona,-9.8,-139.0333,77.49,68,16,14.54,PF,2022-06-11 18:19:56
11,Barrow,71.2906,-156.7887,33.82,75,100,14.97,US,2022-06-11 18:19:56
12,Nuuk,64.1835,-51.7216,52.41,62,75,9.22,GL,2022-06-11 18:14:57
13,Kalmunai,7.4167,81.8167,82.53,73,100,1.88,LK,2022-06-11 18:19:57
14,Longyearbyen,78.2186,15.6401,39.04,70,75,9.22,SJ,2022-06-11 18:19:57
15,Humaita,-7.5061,-63.0208,81.68,60,99,3.29,BR,2022-06-11 18:19:58
16,Port Lincoln,-34.7333,135.8667,52.66,74,7,6.44,AU,2022-06-11 18:19:58
17,Moron,-34.6534,-58.6198,60.03,35,42,8.43,AR,2022-06-11 18:16:58
18,Bluff,-46.6,168.3333,37.8,73,93,17.45,NZ,2022-06-11 18:19:59
19,Klaksvik,62.2266,-6.589,54.52,96,66,5.32,FO,2022-06-11 18:19:59
20,Nikolskoye,59.7035,30.7861,66.09,71,49,3.67,RU,2022-06-11 18:19:59
21,Punta Arenas,-53.15,-70.9167,44.71,87,75,9.22,CL,2022-06-11 18:20:00
22,Hilo,19.7297,-155.09,80.28,68,75,3.0,US,2022-06-11 18:20:00
23,Yellowknife,62.456,-114.3525,66.72,59,40,18.41,CA,2022-06-11 18:15:23
24,Svetlogorsk,52.6333,29.7333,66.2,89,48,7.38,BY,2022-06-11 18:20:01
25,Karratha,-20.7377,116.8463,73.06,79,0,7.29,AU,2022-06-11 18:18:03
26,Iaciara,-14.0958,-46.6317,92.07,18,19,1.92,BR,2022-06-11 18:20:02
27,Arraial Do Cabo,-22.9661,-42.0278,67.86,83,100,9.22,BR,2022-06-11 18:20:02
28,Cervo,43.6702,-7.4101,62.96,93,100,14.99,ES,2022-06-11 18:20:02
29,Albany,42.6001,-73.9662,77.58,50,100,1.01,US,2022-06-11 18:20:03
30,Mar Del Plata,-38.0023,-57.5575,55.42,65,0,11.5,AR,2022-06-11 18:17:42
31,Provideniya,64.3833,-173.3,36.84,71,53,1.92,RU,2022-06-11 18:20:03
32,Buraydah,26.326,43.975,99.05,10,0,11.52,SA,2022-06-11 18:20:04
33,Baykit,61.67,96.37,55.67,56,92,5.23,RU,2022-06-11 18:20:04
34,Bethel,41.3712,-73.414,77.41,54,0,0.0,US,2022-06-11 18:20:05
35,Kathmandu,27.7167,85.3167,73.62,88,20,2.3,NP,2022-06-11 18:20:05
36,Bara,10.3744,10.7288,89.38,42,33,7.31,NG,2022-06-11 18:20:05
37,Te Anau,-45.4167,167.7167,38.82,98,86,7.16,NZ,2022-06-11 18:20:06
38,Salalah,17.0151,54.0924,87.89,79,75,8.05,OM,2022-06-11 18:20:06
39,Ushuaia,-54.8,-68.3,40.66,87,75,5.75,AR,2022-06-11 18:17:24
40,Hermanus,-34.4187,19.2345,66.22,50,100,6.6,ZA,2022-06-11 18:20:07
41,Souillac,-20.5167,57.5167,73.78,73,75,10.36,MU,2022-06-11 18:20:07
42,Collie,-33.3667,116.15,54.41,98,34,4.0,AU,2022-06-11 18:20:07
43,Fortuna,40.5982,-124.1573,72.52,84,75,0.0,US,2022-06-11 18:20:08
44,Dikson,73.5069,80.5464,35.96,89,100,5.21,RU,2022-06-11 18:21:08
45,Taunggyi,20.7833,97.0333,62.2,96,86,3.62,MM,2022-06-11 18:16:27
46,Lagawe,16.8,121.1192,72.03,94,97,1.92,PH,2022-06-11 18:21:08
47,Jamestown,42.097,-79.2353,74.95,42,52,8.01,US,2022-06-11 18:21:09
48,Yinchuan,38.4681,106.2731,67.32,30,69,4.25,CN,2022-06-11 18:17:46
49,Kapoeta,4.7717,33.5903,82.8,43,74,5.75,SS,2022-06-11 18:21:10
50,Cam Ranh,11.9214,109.1591,80.56,78,20,2.3,VN,2022-06-11 18:21:10
51,Victoria,22.2855,114.1577,80.65,86,100,4.0,HK,2022-06-11 18:20:32
52,Rikitea,-23.1203,-134.9692,74.25,80,30,13.49,PF,2022-06-11 18:21:10
53,Pangnirtung,66.1451,-65.7125,37.4,87,100,10.36,CA,2022-06-11 18:17:19
54,Tiksi,71.6872,128.8694,37.94,77,64,7.38,RU,2022-06-11 18:21:11
55,Faya,18.3851,42.4509,77.52,41,22,4.45,SA,2022-06-11 18:21:11
56,Qujing,25.4833,103.7833,62.44,96,99,3.56,CN,2022-06-11 18:21:12
57,Kreminna,49.0495,38.2179,72.9,64,7,5.82,UA,2022-06-11 18:21:12
58,Policka,49.7146,16.2654,67.68,52,50,2.93,CZ,2022-06-11 18:21:12
59,Geraldton,-28.7667,114.6,64.81,94,75,4.61,AU,2022-06-11 18:21:13
60,Cape Town,-33.9258,18.4232,70.12,48,0,6.91,ZA,2022-06-11 18:20:08
61,Fairbanks,64.8378,-147.7164,60.49,65,0,3.44,US,2022-06-11 18:17:05
62,Amuntai,-2.4177,115.2494,73.49,99,61,1.21,ID,2022-06-11 18:21:14
63,Bathsheba,13.2167,-59.5167,86.61,66,20,24.16,BB,2022-06-11 18:21:14
64,Acapulco,16.8634,-99.8901,87.62,62,75,6.91,MX,2022-06-11 18:16:26
65,Ketchikan,55.3422,-131.6461,52.27,82,100,9.22,US,2022-06-11 18:21:15
66,Gainesville,29.6516,-82.3248,92.91,60,0,6.91,US,2022-06-11 18:21:07
67,Shimoda,34.6667,138.95,63.1,89,100,21.5,JP,2022-06-11 18:21:15
68,Severo-Kurilsk,50.6789,156.125,43.23,86,87,11.07,RU,2022-06-11 18:21:16
69,Wenchi,7.7392,-2.1046,75.22,90,79,5.39,GH,2022-06-11 18:21:16
70,Turukhansk,65.8167,87.9833,62.29,41,99,14.94,RU,2022-06-11 18:21:17
71,Santa Vitoria Do Palmar,-33.5189,-53.3681,53.62,59,56,16.91,BR,2022-06-11 18:21:17
72,Avarua,-21.2078,-159.775,75.25,69,75,8.05,CK,2022-06-11 18:21:17
73,Port Hardy,50.6996,-127.4199,57.38,77,75,6.91,CA,2022-06-11 18:21:18
74,Zonguldak,41.25,31.8333,58.57,95,100,5.41,TR,2022-06-11 18:21:18
75,Rajur,20.1167,78.9167,92.79,42,35,3.09,IN,2022-06-11 18:21:18
76,Norman Wells,65.282,-126.8329,55.44,71,75,10.36,CA,2022-06-11 18:21:19
77,Vila Franca Do Campo,37.7167,-25.4333,64.81,90,98,6.35,PT,2022-06-11 18:21:19
78,Tuktoyaktuk,69.4541,-133.0374,39.2,87,100,13.8,CA,2022-06-11 18:21:20
79,Namibe,-15.1961,12.1522,72.07,62,2,7.63,AO,2022-06-11 18:21:20
80,Samarai,-10.6167,150.6667,79.84,80,91,7.78,PG,2022-06-11 18:21:20
81,Hobyo,5.3505,48.5268,79.11,83,43,26.78,SO,2022-06-11 18:21:21
82,Kribi,2.95,9.9167,77.88,87,33,6.64,CM,2022-06-11 18:21:21
83,Dongsheng,39.8161,109.9776,60.08,21,100,9.48,CN,2022-06-11 18:17:29
84,Adrar,20.5022,-10.0711,107.96,7,52,5.26,MR,2022-06-11 18:21:21
85,Caborca,30.5838,-111.101,96.58,24,6,5.91,MX,2022-06-11 18:21:22
86,Georgetown,5.4112,100.3354,77.95,94,40,4.61,MY,2022-06-11 18:16:57
87,Kapaa,22.0752,-159.319,78.78,83,75,12.66,US,2022-06-11 18:21:22
88,Vostok,46.4856,135.8833,43.65,94,0,3.49,RU,2022-06-11 18:21:23
89,Tasiilaq,65.6145,-37.6368,42.96,72,20,0.81,GL,2022-06-11 18:22:23
90,Hasaki,35.7333,140.8333,66.6,92,100,16.96,JP,2022-06-11 18:22:23
91,Itarema,-2.9248,-39.9167,82.18,72,66,11.3,BR,2022-06-11 18:22:24
92,Hambantota,6.1241,81.1185,80.44,82,100,15.03,LK,2022-06-11 18:22:24
93,Baijiantan,45.6333,85.1833,87.82,21,66,5.61,CN,2022-06-11 18:22:24
94,Laguna,38.421,-121.4238,93.94,33,0,5.75,US,2022-06-11 18:21:53
95,Ribeira Grande,38.5167,-28.7,68.4,68,20,14.97,PT,2022-06-11 18:22:25
96,San Rafael,-34.6177,-68.3301,69.03,14,0,11.52,AR,2022-06-11 18:22:25
97,Waipawa,-41.4122,175.5153,51.21,73,31,19.44,NZ,2022-06-11 18:22:25
98,Bangassou,4.7413,22.8184,74.1,78,57,1.95,CF,2022-06-11 18:22:26
99,Airai,-8.9266,125.4092,56.21,87,76,3.69,TL,2022-06-11 18:22:26
100,Canutama,-6.5339,-64.3831,78.84,64,100,6.29,BR,2022-06-11 18:22:27
101,Koslan,63.4564,48.8989,47.66,56,100,5.57,RU,2022-06-11 18:22:27
102,Cidreira,-30.1811,-50.2056,53.2,56,4,18.95,BR,2022-06-11 18:22:27
103,Axim,4.8699,-2.2405,78.96,75,85,9.95,GH,2022-06-11 18:22:28
104,Bredasdorp,-34.5322,20.0403,65.7,33,100,4.43,ZA,2022-06-11 18:22:28
105,Carnarvon,-24.8667,113.6333,70.5,69,1,12.01,AU,2022-06-11 18:22:28
106,Walvis Bay,-22.9575,14.5053,70.75,37,0,3.44,NA,2022-06-11 18:22:29
107,Nusaybin,37.0778,41.2178,89.19,22,0,11.5,TR,2022-06-11 18:22:29
108,Mahebourg,-20.4081,57.7,73.69,73,75,10.36,MU,2022-06-11 18:22:29
109,Lyudinovo,53.8664,34.4478,64.08,93,47,5.79,RU,2022-06-11 18:22:30
110,Alofi,-19.0595,-169.9187,73.29,100,80,9.22,NU,2022-06-11 18:22:30
111,Mujiayingzi,42.1167,118.7833,62.15,77,100,5.82,CN,2022-06-11 18:22:30
112,Khatanga,71.9667,102.5,46.87,64,45,9.62,RU,2022-06-11 18:22:31
113,Tautira,-17.7333,-149.15,78.1,81,57,21.3,PF,2022-06-11 18:22:31
114,Esil,51.9556,66.4042,61.45,71,87,9.15,KZ,2022-06-11 18:22:32
115,Guabito,9.5,-82.6167,85.68,65,58,7.58,PA,2022-06-11 18:22:32
116,Antalaha,-14.9003,50.2788,72.05,77,12,10.6,MG,2022-06-11 18:22:32
117,Pochutla,15.7432,-96.4661,85.82,75,78,7.49,MX,2022-06-11 18:22:33
118,Isangel,-19.55,169.2667,76.91,89,79,6.76,VU,2022-06-11 18:22:33
119,Castro,-24.7911,-50.0119,53.29,59,100,5.41,BR,2022-06-11 18:22:33
120,New Norfolk,-42.7826,147.0587,38.91,81,93,4.0,AU,2022-06-11 18:22:34
121,Yar-Sale,66.8333,70.8333,58.24,76,63,8.9,RU,2022-06-11 18:22:34
122,Manta,-0.95,-80.7333,78.58,73,100,6.91,EC,2022-06-11 18:22:34
123,Hithadhoo,-0.6,73.0833,83.71,71,60,8.99,MV,2022-06-11 18:22:35
124,Eureka,40.8021,-124.1637,76.75,94,100,1.99,US,2022-06-11 18:22:04
125,Ugoofaaru,5.6667,73.0,83.14,75,98,11.16,MV,2022-06-11 18:22:35
126,San Jose,37.3394,-121.895,91.9,31,20,8.05,US,2022-06-11 18:20:55
127,Butaritari,3.0707,172.7902,81.39,77,48,11.45,KI,2022-06-11 18:22:35
128,Saskylakh,71.9167,114.0833,50.77,59,10,10.38,RU,2022-06-11 18:22:36
129,Tiznit,29.5833,-9.5,81.09,47,40,7.4,MA,2022-06-11 18:22:36
130,Yulara,-25.2406,130.9889,45.43,57,8,6.64,AU,2022-06-11 18:22:36
131,Veraval,20.9,70.3667,83.26,79,97,11.16,IN,2022-06-11 18:22:37
132,Upernavik,72.7868,-56.1549,30.06,79,16,13.58,GL,2022-06-11 18:22:37
133,Bilma,18.6853,12.9164,99.63,11,3,4.07,NE,2022-06-11 18:22:37
134,Saldanha,-33.0117,17.9442,60.85,72,100,9.26,ZA,2022-06-11 18:22:38
135,Port Alfred,-33.5906,26.891,68.85,38,51,10.11,ZA,2022-06-11 18:18:20
136,Chokurdakh,70.6333,147.9167,49.69,50,15,11.03,RU,2022-06-11 18:23:38
137,Salekhard,66.53,66.6019,61.57,69,20,10.29,RU,2022-06-11 18:23:39
138,Margate,51.3813,1.3862,67.87,61,9,5.01,GB,2022-06-11 18:23:39
139,Komsomolskiy,40.4272,71.7189,81.32,32,100,4.61,UZ,2022-06-11 18:23:39
140,Sorso,40.8,8.5772,79.29,52,0,4.68,IT,2022-06-11 18:23:40
141,Teya,60.3778,92.6267,58.71,57,82,4.16,RU,2022-06-11 18:23:40
142,Qaanaaq,77.484,-69.3632,30.11,73,100,3.83,GL,2022-06-11 18:23:40
143,Port Hedland,-20.3167,118.5667,68.05,88,100,4.61,AU,2022-06-11 18:23:41
144,Saint-Pierre,-21.3393,55.4781,69.91,73,0,5.75,RE,2022-06-11 18:23:41
145,Lavrentiya,65.5833,-171.0,35.67,64,88,18.5,RU,2022-06-11 18:23:41
146,Tura,25.5198,90.2201,74.14,97,37,8.08,IN,2022-06-11 18:23:42
147,Hobart,-42.8794,147.3294,39.25,85,75,14.97,AU,2022-06-11 18:23:42
148,Puerto Ayora,-0.7393,-90.3518,76.96,89,76,7.0,EC,2022-06-11 18:23:42
149,Jiwani,25.05,61.7417,83.52,84,79,13.73,PK,2022-06-11 18:23:43
150,Sydney,-33.8679,151.2073,53.64,61,0,16.11,AU,2022-06-11 18:21:22
151,East London,-33.0153,27.9116,68.94,45,0,8.05,ZA,2022-06-11 18:21:46
152,Vardo,70.3705,31.1107,49.98,76,51,0.0,NO,2022-06-11 18:23:43
153,Zapadnaya Dvina,56.259,32.0745,62.6,87,21,4.97,RU,2022-06-11 18:23:44
154,Avera,33.194,-82.5271,90.55,36,36,4.72,US,2022-06-11 18:23:44
155,Puerto Colombia,10.9878,-74.9547,87.89,69,100,1.66,CO,2022-06-11 18:23:45
156,Zhigansk,66.7697,123.3711,47.12,84,72,11.23,RU,2022-06-11 18:23:45
157,Victor Harbor,-35.5667,138.6167,49.68,76,55,10.83,AU,2022-06-11 18:23:45
158,Bandarbeyla,9.4942,50.8122,79.77,78,97,30.22,SO,2022-06-11 18:18:59
159,Morayfield,-27.1167,152.95,53.1,70,5,8.75,AU,2022-06-11 18:23:46
160,Beringovskiy,63.05,179.3167,39.52,72,59,7.27,RU,2022-06-11 18:23:46
161,Nanortalik,60.1432,-45.2371,46.51,61,100,11.59,GL,2022-06-11 18:23:47
162,Auki,-8.7676,160.7034,76.03,87,7,4.05,SB,2022-06-11 18:23:47
163,Lincoln,40.8,-96.667,88.02,62,75,6.91,US,2022-06-11 18:21:54
164,Pasni,25.2631,63.471,82.47,84,51,10.96,PK,2022-06-11 18:23:47
165,Chuy,-33.6971,-53.4616,53.58,59,73,17.56,UY,2022-06-11 18:23:20
166,Brigantine,39.4101,-74.3646,73.99,66,100,10.36,US,2022-06-11 18:23:48
167,Almaznyy,48.0448,40.045,69.8,45,3,3.53,RU,2022-06-11 18:23:48
168,Galesong,-5.3166,119.3661,77.02,84,100,5.77,ID,2022-06-11 18:23:49
169,Nyurba,63.2842,118.3319,47.86,87,99,4.54,RU,2022-06-11 18:23:49
170,Quelimane,-17.8786,36.8883,66.15,72,20,5.75,MZ,2022-06-11 18:23:49
171,Saint-Georges,12.0564,-61.7485,85.68,70,20,29.93,GD,2022-06-11 18:23:49
172,Abohar,30.15,74.1833,96.66,16,0,7.94,IN,2022-06-11 18:20:46
173,Moranbah,-22.0016,148.0466,48.09,66,87,7.65,AU,2022-06-11 18:23:50
174,Goderich,43.7501,-81.7165,70.12,60,41,9.22,CA,2022-06-11 18:23:50
175,San Cristobal,7.7669,-72.225,78.98,50,100,7.87,VE,2022-06-11 18:23:51
176,Faanui,-16.4833,-151.75,79.77,76,22,18.63,PF,2022-06-11 18:23:51
177,Kurmanayevka,52.5093,52.0675,61.66,84,98,6.42,RU,2022-06-11 18:20:18
178,Talnakh,69.4865,88.3972,54.21,49,52,7.4,RU,2022-06-11 18:24:52
179,Forecariah,9.4306,-13.0881,83.37,69,98,5.5,GN,2022-06-11 18:24:52
180,Guerrero Negro,27.9769,-114.0611,74.84,57,6,13.29,MX,2022-06-11 18:24:53
181,Kortkeros,61.8106,51.5806,41.18,96,100,10.71,RU,2022-06-11 18:24:53
182,Talas,38.6908,35.5538,75.87,38,40,1.14,TR,2022-06-11 18:24:53
183,Quatre Cocos,-20.2078,57.7625,73.51,71,86,18.68,MU,2022-06-11 18:24:54
184,Shingu,33.7333,135.9833,65.07,89,100,7.87,JP,2022-06-11 18:24:54
185,Pevek,69.7008,170.3133,38.89,60,92,7.2,RU,2022-06-11 18:24:54
186,South Lake Tahoe,38.9332,-119.9844,80.8,23,0,10.36,US,2022-06-11 18:24:55
187,San Juan Del Sur,11.2529,-85.8705,84.42,74,75,4.61,NI,2022-06-11 18:24:55
188,Kabalo,-6.05,26.9167,80.28,48,92,3.51,CD,2022-06-11 18:24:55
189,Rybinsk,58.0446,38.8426,56.53,77,5,5.12,RU,2022-06-11 18:24:56
190,Nyagan,62.1406,65.3936,55.18,89,87,3.74,RU,2022-06-11 18:24:56
191,Rawson,-43.3002,-65.1023,59.13,37,67,9.89,AR,2022-06-11 18:24:56
192,Labytnangi,66.6572,66.4183,60.96,70,25,8.43,RU,2022-06-11 18:24:57
193,Padang,-0.9492,100.3543,71.65,96,100,1.86,ID,2022-06-11 18:24:57
194,Bambous Virieux,-20.3428,57.7575,73.65,73,75,10.36,MU,2022-06-11 18:24:57
195,Lipin Bor,60.2622,37.9763,54.27,65,0,5.3,RU,2022-06-11 18:20:18
196,Nome,64.5011,-165.4064,46.17,49,0,8.05,US,2022-06-11 18:20:16
197,Yekaterinogradskaya,43.7635,44.2317,68.5,43,69,9.75,RU,2022-06-11 18:24:58
198,Sambava,-14.2667,50.1667,72.48,80,17,15.03,MG,2022-06-11 18:24:58
199,Mahajanga,-15.7167,46.3167,73.42,88,20,2.3,MG,2022-06-11 18:24:58
200,Hokitika,-42.7167,170.9667,48.47,86,97,12.91,NZ,2022-06-11 18:24:59
201,Huron,41.1501,-82.5499,77.74,60,29,10.16,US,2022-06-11 18:24:59
202,Irpa Irpa,-17.7167,-66.2667,71.6,21,0,4.54,BO,2022-06-11 18:24:59
203,Ruwi,23.5996,58.5507,91.09,63,0,3.6,OM,2022-06-11 18:25:00
204,Storforshei,66.4043,14.5233,53.38,76,75,4.61,NO,2022-06-11 18:25:00
205,Saint-Philippe,-21.3585,55.7679,67.59,79,67,12.71,RE,2022-06-11 18:23:11
206,Clyde River,70.4692,-68.5914,34.03,86,100,14.97,CA,2022-06-11 18:25:01
207,Juneau,58.3019,-134.4197,52.21,90,75,5.75,US,2022-06-11 18:25:01
208,Praia,14.9215,-23.5087,81.14,65,0,2.3,CV,2022-06-11 18:21:18
209,Augustow,53.8432,22.9798,62.17,80,16,5.14,PL,2022-06-11 18:25:02
210,Grand-Santi,4.25,-54.3833,85.64,61,95,4.21,GF,2022-06-11 18:25:02
211,Bowen,-20.0167,148.2333,54.93,70,71,7.18,AU,2022-06-11 18:25:03
212,Arlit,18.7369,7.3853,91.67,26,95,4.5,NE,2022-06-11 18:25:03
213,Kachug,53.9606,105.8817,52.5,63,8,1.83,RU,2022-06-11 18:25:03
214,Kamskiye Polyany,55.4307,51.4171,58.01,86,53,8.14,RU,2022-06-11 18:25:04
215,Ilulissat,69.2167,-51.1,37.42,70,20,8.05,GL,2022-06-11 18:25:04
216,Kodiak,57.79,-152.4072,53.11,82,100,8.05,US,2022-06-11 18:20:43
217,Marrakesh,31.6315,-8.0083,91.47,40,75,9.22,MA,2022-06-11 18:25:05
218,Baft,29.234,56.6057,74.23,20,77,8.19,IR,2022-06-11 18:25:05
219,Burgeo,47.6167,-57.6152,55.62,83,93,10.51,CA,2022-06-11 18:25:05
220,Zherdevka,51.8486,41.4606,65.41,81,71,7.49,RU,2022-06-11 18:25:06
221,Lebu,-37.6167,-73.65,55.17,67,97,4.74,CL,2022-06-11 18:25:06
222,Grindavik,63.8424,-22.4338,53.55,81,75,18.41,IS,2022-06-11 18:25:06
223,Ulladulla,-35.35,150.4667,52.7,54,0,15.9,AU,2022-06-11 18:25:07
224,Sur,22.5667,59.5289,88.36,72,0,13.53,OM,2022-06-11 18:25:07
225,Saint George,37.1041,-113.5841,103.78,12,0,4.0,US,2022-06-11 18:20:59
226,Mount Isa,-20.7333,139.5,53.37,43,100,8.05,AU,2022-06-11 18:25:07
227,Saint Anthony,45.0205,-93.218,77.92,58,75,6.91,US,2022-06-11 18:26:08
228,Okhotsk,59.3833,143.3,41.04,94,87,2.08,RU,2022-06-11 18:26:08
229,Mastic Beach,40.7668,-72.8521,76.08,65,0,9.22,US,2022-06-11 18:26:09
230,Kaseda,31.4167,130.3167,67.71,88,93,6.02,JP,2022-06-11 18:26:09
231,Seydi,39.4816,62.9137,83.01,27,1,10.4,TM,2022-06-11 18:26:09
232,Karaton,-6.3424,106.1045,72.43,97,100,2.95,ID,2022-06-11 18:26:10
233,Sechura,-5.5569,-80.8222,75.15,58,73,13.35,PE,2022-06-11 18:26:10
234,Nuevo Progreso,23.1667,-97.95,95.54,44,18,7.0,MX,2022-06-11 18:26:10
235,Lakhdenpokhya,61.5198,30.1992,54.43,78,80,4.9,RU,2022-06-11 18:26:11
236,Sabzevar,36.2126,57.6819,78.08,38,0,16.11,IR,2022-06-11 18:26:11
237,Challans,46.8436,-1.8749,77.92,61,3,13.85,FR,2022-06-11 18:26:11
238,Valle De Allende,26.9333,-105.4,91.36,16,3,8.75,MX,2022-06-11 18:26:12
239,Ballina,-28.8667,153.5667,49.96,69,5,11.83,AU,2022-06-11 18:26:12
240,Ramshir,30.8946,49.4092,94.75,8,0,22.1,IR,2022-06-11 18:26:12
241,Road Town,18.4167,-64.6167,87.89,70,20,16.11,VG,2022-06-11 18:26:13
242,Inverell,-29.7833,151.1167,38.16,92,20,5.01,AU,2022-06-11 18:26:13
243,Bandar-E Lengeh,26.5579,54.8807,89.71,62,0,4.61,IR,2022-06-11 18:26:13
244,Saint-Louis,16.3333,-15.0,105.44,15,26,4.68,SN,2022-06-11 18:26:14
245,Natal,-5.795,-35.2094,86.65,74,40,10.36,BR,2022-06-11 18:26:14
246,Harper,4.375,-7.7169,75.45,92,100,7.27,LR,2022-06-11 18:26:14
247,Mandalgovi,45.7625,106.2708,50.67,76,97,21.47,MN,2022-06-11 18:26:15
248,Loreto,22.2667,-101.9667,79.7,26,4,6.78,MX,2022-06-11 18:26:15
249,Estevan,49.1334,-102.9842,77.34,49,75,4.61,CA,2022-06-11 18:25:19
250,Broome,42.2506,-75.833,74.7,49,75,6.91,US,2022-06-11 18:26:16
251,Zabaykalsk,49.6333,117.3167,57.52,87,100,12.17,RU,2022-06-11 18:26:16
252,Luderitz,-26.6481,15.1594,64.92,49,54,8.95,NA,2022-06-11 18:26:16
253,Leningradskiy,69.3833,178.4167,33.85,73,98,10.2,RU,2022-06-11 18:26:17
254,Caravelas,-17.7125,-39.2481,76.69,76,87,7.94,BR,2022-06-11 18:26:17
255,Cabo San Lucas,22.8909,-109.9124,86.61,69,40,8.05,MX,2022-06-11 18:25:06
256,Roald,62.5833,6.1333,63.91,72,75,9.22,NO,2022-06-11 18:26:17
257,Polyarnyy,69.1989,33.4478,62.56,48,35,15.32,RU,2022-06-11 18:26:18
258,Cherskiy,68.75,161.3,59.41,42,89,5.53,RU,2022-06-11 18:26:18
259,Tual,-5.6667,132.75,81.84,77,99,5.93,ID,2022-06-11 18:26:18
260,Urumqi,43.801,87.6005,79.75,21,0,4.47,CN,2022-06-11 18:26:19
261,Sao Filipe,14.8961,-24.4956,73.72,84,20,4.68,CV,2022-06-11 18:26:19
262,Finschhafen,-6.6024,147.8681,77.63,80,7,4.12,PG,2022-06-11 18:26:19
263,Dingle,10.9995,122.6711,76.84,90,72,2.15,PH,2022-06-11 18:26:20
264,Chapais,49.7834,-74.8492,62.38,48,73,6.15,CA,2022-06-11 18:25:17
265,Casper,42.8666,-106.3131,82.81,42,0,3.44,US,2022-06-11 18:26:20
266,College,64.8569,-147.8028,60.48,66,75,3.44,US,2022-06-11 18:26:21
267,Taoudenni,22.6783,-3.9836,112.77,5,13,5.28,ML,2022-06-11 18:26:21
